#complex,groundtruth,z3flag
#12-terms generated expression.
-8*((((x&z)^~(y&~z))&~t)|((~z&(x^y))&t))-1*(((x|~y)&~t)|((~(x|y)|(x^(y^z)))&t))+9*((((x&y)|~(y|~z))&~t)|(~(x|(~y|z))&t))+9*~(x|(y|(z|t)))+9*~(~x|(y|(z|t)))-8*~(~x|(~y|(z|t)))+8*~(x|(~y|(~z|t)))-8*~(~x|(y|(~z|t)))-8*~(~x|(~y|(~z|t)))+1*(~x&(~y&(~z&t)))+9*(x&(~y&(~z&t)))+1*(x&(y&(z&t))),-1*(~x&(~y&(z&t))),True
1*(((y&(x|z))&~t)|((z|(x&y))&t))+6*(((x&(y&z))&~t)|((y^~(x&~z))&t))-8*~(x|(y|(z|t)))-1*~(~x|(~y|(z|t)))-1*~(x|(~y|(~z|t)))-15*~(~x|(~y|(~z|t)))-6*(~x&(~y&(~z&t)))-7*(x&(y&(~z&t)))-15*(~x&(~y&(z&t)))-1*(~x&(y&(z&t)))-15*(x&(~y&(z&t)))-1*(x&(y&(z&t))),-8*(((~(x^y)&~(x^z))&~t)|(~(y|~z)&t)),True
#13-terms generated expression.
-9*((~(~x|(y|z))&~t)|(((x^y)|~(x^z))&t))-1*(((~y&(x^z))&~t)|(((x&y)|~(y|z))&t))-8*~(x|(y|(z|t)))+2*~(~x|(y|(z|t)))-7*~(x|(y|(~z|t)))-8*~(~x|(y|(~z|t)))+10*(~x&(~y&(~z&t)))+9*(~x&(y&(~z&t)))+10*(x&(~y&(~z&t)))-7*(x&(y&(~z&t)))+9*(~x&(y&(z&t)))+1*(x&(~y&(z&t)))+2*(x&(y&(z&t))),-8*((~y&~t)|((x&(y|z))&t)),True
#14-terms generated expression.
-1*(((x|~z)&~t)|(((x&y)|~(y|z))&t))+5*((((y&~z)|~(x|(~y&z)))&~t)|((y^~(x|(~y&z)))&t))-8*(((y&~z)&~t)|((y^(~x|(~y&z)))&t))-4*~(x|(y|(z|t)))+4*~(x|(~y|(z|t)))+1*~(~x|(y|(z|t)))-5*~(x|(~y|(~z|t)))+1*~(~x|(~y|(~z|t)))+4*(~x&(~y&(~z&t)))+1*(x&(~y&(~z&t)))+4*(x&(y&(~z&t)))+8*(~x&(~y&(z&t)))+8*(x&(~y&(z&t)))+4*(x&(y&(z&t))),-1*~(~x|(y|(~z|t)))-4*~(~x|(~y|(z|t))),True
4*((((x|y)&(x^(y^z)))&~t)|(~(~x|(~y|z))&t))-3*(((z^(~x|(~y|z)))&~t)|((y^(x|~z))&t))-2*(((z^(x|~y))&~t)|(((y&z)^~(~x&(y^z)))&t))+5*(((~(x&~y)&~(y^z))&~t)|((x^z)&t))-1*~(x|(~y|(z|t)))+1*~(~x|(y|(z|t)))+2*~(~x|(~y|(z|t)))+7*~(x|(y|(~z|t)))-3*~(x|(~y|(~z|t)))-9*~(~x|(~y|(~z|t)))+5*(~x&(~y&(~z&t)))+2*(~x&(~y&(z&t)))+5*(~x&(y&(z&t)))+12*(x&(~y&(z&t))),-7*(~x&(y&(~z&t)))+7*(((~x&(~y&z))&~t)|((~(x|~y)|(y^z))&t)),True
-8*((~(x&~y)&~t)|((y&z)&t))-3*(((z&(x^y))&~t)|((~(x|y)|~(y^z))&t))-2*(((~x&(~y|z))&~t)|(((x&y)^(x^(~y|z)))&t))+10*~(x|(y|(z|t)))+8*~(x|(~y|(z|t)))+8*~(~x|(~y|(z|t)))+10*~(x|(y|(~z|t)))+13*~(x|(~y|(~z|t)))+3*~(~x|(y|(~z|t)))+8*~(~x|(~y|(~z|t)))+5*(~x&(~y&(~z&t)))+5*(~x&(~y&(z&t)))+13*(~x&(y&(z&t)))+13*(x&(y&(z&t))),-3*(x&(~y&(~z&t))),True
#15-terms generated expression.
7*(((y^(~x|(y^z)))&~t)|((y^~(x&(y^z)))&t))-1*((~(x|y)&~t)|(((x&y)^~(x^(~y|z)))&t))-2*((((x|y)&(x^(y^z)))&~t)|((y^~(~x|(~y&z)))&t))-6*~(x|(y|(z|t)))+2*~(x|(~y|(z|t)))+2*~(~x|(y|(z|t)))-6*~(x|(y|(~z|t)))-7*~(~x|(y|(~z|t)))-5*~(~x|(~y|(~z|t)))-7*(~x&(~y&(~z&t)))+3*(~x&(y&(~z&t)))-4*(x&(~y&(~z&t)))-6*(x&(y&(~z&t)))-7*(~x&(~y&(z&t)))+1*(x&(~y&(z&t))),-2*(~x&(y&(z&t))),True
